text,label
win a brand new car call now to claim your prize,1
hey are we still on for dinner tonight,0
congratulations you have won  click the link to claim,1
reminder your appointment is scheduled for tomorrow,0
urgent your bank account is at risk verify now,1
lets catch up! soon its been a while,0
free entry to the lottery text win to  now,1
dont forget to submit your assignment by tonight,0
limited time offer buy one get one free order now,1
meeting at  am tomorrow let me know if you can make it,0
